date,region,sst
1983-10-15,Gulf of St. Lawrence,10.341
1983-11-15,Bay of Fundy,9.304
1983-11-15,Scotian Shelf,9.254
1983-11-15,Gulf of St. Lawrence,4.705
1983-12-15,Bay of Fundy,7.082
1983-12-15,Scotian Shelf,5.933
1983-12-15,Gulf of St. Lawrence,2.049
1984-01-15,Bay of Fundy,2.985
1984-01-15,Scotian Shelf,2.714
1984-01-15,Gulf of St. Lawrence,-0.272
1984-02-15,Bay of Fundy,1.85
1984-02-15,Scotian Shelf,2.393
1984-02-15,Gulf of St. Lawrence,-0.305
1984-03-15,Bay of Fundy,1.24
1984-03-15,Scotian Shelf,1.715
1984-03-15,Gulf of St. Lawrence,-0.509
1984-04-15,Bay of Fundy,2.826
1984-04-15,Scotian Shelf,3.656
1984-04-15,Gulf of St. Lawrence,0.46
1984-05-15,Bay of Fundy,2.955
1984-05-15,Scotian Shelf,5.476
1984-05-15,Gulf of St. Lawrence,3.203
1984-06-15,Bay of Fundy,8.563
1984-06-15,Scotian Shelf,9.811
1984-06-15,Gulf of St. Lawrence,8.049
1984-08-15,Bay of Fundy,16.407
1984-08-15,Scotian Shelf,19.566
1984-08-15,Gulf of St. Lawrence,17.636
1984-09-15,Bay of Fundy,13.005
1984-09-15,Scotian Shelf,15.861
1984-09-15,Gulf of St. Lawrence,14.012
1984-10-15,Bay of Fundy,11.066
1984-10-15,Scotian Shelf,11.974
1984-10-15,Gulf of St. Lawrence,7.408
1984-11-15,Bay of Fundy,9.714
1984-11-15,Scotian Shelf,9.383
1984-11-15,Gulf of St. Lawrence,4.133
1984-12-15,Bay of Fundy,7.314
1984-12-15,Scotian Shelf,6.24
1984-12-15,Gulf of St. Lawrence,1.501
1985-01-15,Bay of Fundy,2.317
1985-01-15,Scotian Shelf,2.689
1985-01-15,Gulf of St. Lawrence,-0.113
1985-02-15,Bay of Fundy,2.175
1985-02-15,Scotian Shelf,1.533
1985-02-15,Gulf of St. Lawrence,-0.494
1985-03-15,Bay of Fundy,1.394
1985-03-15,Scotian Shelf,1.492
1985-03-15,Gulf of St. Lawrence,-0.286
1985-04-15,Bay of Fundy,1.769
1985-04-15,Scotian Shelf,1.605
1985-04-15,Gulf of St. Lawrence,-0.325
1985-05-15,Bay of Fundy,3.911
1985-05-15,Scotian Shelf,3.52
1985-05-15,Gulf of St. Lawrence,2.605
1985-06-15,Bay of Fundy,7.873
1985-06-15,Scotian Shelf,8.265
1985-06-15,Gulf of St. Lawrence,8.115
1985-08-15,Bay of Fundy,14.933
1985-08-15,Scotian Shelf,16.879
1985-08-15,Gulf of St. Lawrence,16.256
1985-09-15,Bay of Fundy,12.835
1985-09-15,Scotian Shelf,14.827
1985-09-15,Gulf of St. Lawrence,13.345
1985-10-15,Bay of Fundy,11.649
1985-10-15,Scotian Shelf,12.973
1985-10-15,Gulf of St. Lawrence,9.763
1985-11-15,Bay of Fundy,8.849
1985-11-15,Scotian Shelf,8.428
1985-11-15,Gulf of St. Lawrence,4.542
1985-12-15,Bay of Fundy,5.606
1985-12-15,Scotian Shelf,4.717
1985-12-15,Gulf of St. Lawrence,0.836
1986-01-15,Bay of Fundy,2.809
1986-01-15,Scotian Shelf,2.665
1986-01-15,Gulf of St. Lawrence,0.045
1986-02-15,Bay of Fundy,1.863
1986-02-15,Scotian Shelf,1.215
1986-02-15,Gulf of St. Lawrence,-0.454
1986-03-15,Bay of Fundy,1.132
1986-03-15,Scotian Shelf,1.296
1986-03-15,Gulf of St. Lawrence,-0.793
1986-04-15,Bay of Fundy,2.742
1986-04-15,Scotian Shelf,2.578
1986-04-15,Gulf of St. Lawrence,0.108
1986-05-15,Bay of Fundy,6.083
1986-05-15,Scotian Shelf,5.555
1986-05-15,Gulf of St. Lawrence,5.066
1986-06-15,Bay of Fundy,8.321
1986-06-15,Scotian Shelf,8.786
1986-06-15,Gulf of St. Lawrence,8.339
1986-08-15,Bay of Fundy,14.31
1986-08-15,Scotian Shelf,17.515
1986-08-15,Gulf of St. Lawrence,15.874
1986-09-15,Bay of Fundy,12.403
1986-09-15,Scotian Shelf,14.853
1986-09-15,Gulf of St. Lawrence,12.15
1986-10-15,Bay of Fundy,11.216
1986-10-15,Scotian Shelf,11.738
1986-10-15,Gulf of St. Lawrence,8.228
1986-11-15,Bay of Fundy,8.414
1986-11-15,Scotian Shelf,8.328
1986-11-15,Gulf of St. Lawrence,3.706
1986-12-15,Bay of Fundy,5.292
1986-12-15,Scotian Shelf,5.165
1986-12-15,Gulf of St. Lawrence,0.327
1987-01-15,Bay of Fundy,3.317
1987-01-15,Scotian Shelf,3.057
1987-01-15,Gulf of St. Lawrence,-0.19
1987-02-15,Bay of Fundy,1.531
1987-02-15,Scotian Shelf,1.412
1987-02-15,Gulf of St. Lawrence,-0.723
1987-03-15,Bay of Fundy,0.786
1987-03-15,Scotian Shelf,0.836
1987-03-15,Gulf of St. Lawrence,-0.596
1987-04-15,Bay of Fundy,1.564
1987-04-15,Scotian Shelf,2.974
1987-04-15,Gulf of St. Lawrence,0.566
1987-05-15,Bay of Fundy,3.853
1987-05-15,Scotian Shelf,4.961
1987-05-15,Gulf of St. Lawrence,3.632
1987-06-15,Bay of Fundy,8.199
1987-06-15,Scotian Shelf,8.841
1987-06-15,Gulf of St. Lawrence,9.586
1987-08-15,Bay of Fundy,14.295
1987-08-15,Scotian Shelf,17.321
1987-08-15,Gulf of St. Lawrence,16.947
1987-09-15,Bay of Fundy,13.271
1987-09-15,Scotian Shelf,16.134
1987-09-15,Gulf of St. Lawrence,13.254
1987-10-15,Bay of Fundy,10.839
1987-10-15,Scotian Shelf,12.682
1987-10-15,Gulf of St. Lawrence,8.8
1987-11-15,Bay of Fundy,8.27
1987-11-15,Scotian Shelf,8.736
1987-11-15,Gulf of St. Lawrence,3.704
1987-12-15,Bay of Fundy,5.769
1987-12-15,Scotian Shelf,5.347
1987-12-15,Gulf of St. Lawrence,1.575
1988-01-15,Bay of Fundy,2.388
1988-01-15,Scotian Shelf,2.578
1988-01-15,Gulf of St. Lawrence,-0.092
1988-02-15,Bay of Fundy,1.411
1988-02-15,Scotian Shelf,1.907
1988-02-15,Gulf of St. Lawrence,-0.732
1988-03-15,Bay of Fundy,1.623
1988-03-15,Scotian Shelf,1.496
1988-03-15,Gulf of St. Lawrence,-0.315
1988-04-15,Bay of Fundy,2.754
1988-04-15,Scotian Shelf,2.584
1988-04-15,Gulf of St. Lawrence,0.455
1988-05-15,Bay of Fundy,4.884
1988-05-15,Scotian Shelf,5.27
1988-05-15,Gulf of St. Lawrence,3.76
1988-06-15,Bay of Fundy,9.467
1988-06-15,Scotian Shelf,9.222
1988-06-15,Gulf of St. Lawrence,9.067
1988-08-15,Bay of Fundy,13.023
1988-08-15,Scotian Shelf,16.289
1988-08-15,Gulf of St. Lawrence,16.715
1988-09-15,Bay of Fundy,12.049
1988-09-15,Scotian Shelf,14.573
1988-09-15,Gulf of St. Lawrence,11.823
1988-10-15,Bay of Fundy,9.895
1988-10-15,Scotian Shelf,10.884
1988-10-15,Gulf of St. Lawrence,7.612
1988-11-15,Bay of Fundy,8.707
1988-11-15,Scotian Shelf,8.677
1988-11-15,Gulf of St. Lawrence,4.346
1988-12-15,Bay of Fundy,3.952
1988-12-15,Scotian Shelf,4.906
1988-12-15,Gulf of St. Lawrence,1.432
1989-01-15,Bay of Fundy,3.192
1989-01-15,Scotian Shelf,2.714
1989-01-15,Gulf of St. Lawrence,-0.07
1989-02-15,Bay of Fundy,2.309
1989-02-15,Scotian Shelf,1.551
1989-02-15,Gulf of St. Lawrence,-0.636
1989-03-15,Bay of Fundy,1.287
1989-03-15,Scotian Shelf,1.455
1989-03-15,Gulf of St. Lawrence,-0.126
1989-04-15,Bay of Fundy,2.081
1989-04-15,Scotian Shelf,2.528
1989-04-15,Gulf of St. Lawrence,0.742
1989-05-15,Bay of Fundy,4.442
1989-05-15,Scotian Shelf,5.577
1989-05-15,Gulf of St. Lawrence,3.739
1989-06-15,Bay of Fundy,9.305
1989-06-15,Scotian Shelf,9.702
1989-06-15,Gulf of St. Lawrence,9.828
1989-08-15,Bay of Fundy,15.469
1989-08-15,Scotian Shelf,18.481
1989-08-15,Gulf of St. Lawrence,16.915
1989-09-15,Bay of Fundy,14.01
1989-09-15,Scotian Shelf,16.174
1989-09-15,Gulf of St. Lawrence,12.485
1989-10-15,Bay of Fundy,10.646
1989-10-15,Scotian Shelf,11.618
1989-10-15,Gulf of St. Lawrence,6.94
1989-11-15,Bay of Fundy,9.103
1989-11-15,Scotian Shelf,9.863
1989-11-15,Gulf of St. Lawrence,4.375
1989-12-15,Bay of Fundy,4.251
1989-12-15,Scotian Shelf,4.246
1989-12-15,Gulf of St. Lawrence,0.129
1990-01-15,Bay of Fundy,2.097
1990-01-15,Scotian Shelf,1.956
1990-01-15,Gulf of St. Lawrence,-0.405
1990-02-15,Bay of Fundy,1.857
1990-02-15,Scotian Shelf,1.809
1990-02-15,Gulf of St. Lawrence,-0.619
1990-03-15,Bay of Fundy,1.882
1990-03-15,Scotian Shelf,1.343
1990-03-15,Gulf of St. Lawrence,-0.61
1990-04-15,Bay of Fundy,2.398
1990-04-15,Scotian Shelf,2.747
1990-04-15,Gulf of St. Lawrence,0.419
1990-05-15,Bay of Fundy,4.144
1990-05-15,Scotian Shelf,4.711
1990-05-15,Gulf of St. Lawrence,2.411
1990-06-15,Bay of Fundy,8.672
1990-06-15,Scotian Shelf,8.619
1990-06-15,Gulf of St. Lawrence,9.266
1990-08-15,Bay of Fundy,15.545
1990-08-15,Scotian Shelf,17.879
1990-08-15,Gulf of St. Lawrence,15.787
1990-09-15,Bay of Fundy,13.973
1990-09-15,Scotian Shelf,16.937
1990-09-15,Gulf of St. Lawrence,13.312
1990-10-15,Bay of Fundy,12.937
1990-10-15,Scotian Shelf,14.364
1990-10-15,Gulf of St. Lawrence,10.017
1990-11-15,Bay of Fundy,7.562
1990-11-15,Scotian Shelf,7.433
1990-11-15,Gulf of St. Lawrence,3.621
1990-12-15,Bay of Fundy,5.377
1990-12-15,Scotian Shelf,5.027
1990-12-15,Gulf of St. Lawrence,1.147
1991-01-15,Bay of Fundy,2.98
1991-01-15,Scotian Shelf,3.148
1991-01-15,Gulf of St. Lawrence,0.155
1991-02-15,Bay of Fundy,1.699
1991-02-15,Scotian Shelf,1.453
1991-02-15,Gulf of St. Lawrence,-0.62
1991-03-15,Bay of Fundy,1.855
1991-03-15,Scotian Shelf,1.895
1991-03-15,Gulf of St. Lawrence,-0.801
1991-04-15,Bay of Fundy,2.591
1991-04-15,Scotian Shelf,2.113
1991-04-15,Gulf of St. Lawrence,-0.106
1991-05-15,Bay of Fundy,4.904
1991-05-15,Scotian Shelf,5.036
1991-05-15,Gulf of St. Lawrence,3.599
1991-06-15,Bay of Fundy,9.107
1991-06-15,Scotian Shelf,8.042
1991-06-15,Gulf of St. Lawrence,7.665
1991-08-15,Bay of Fundy,14.387
1991-08-15,Scotian Shelf,16.822
1991-08-15,Gulf of St. Lawrence,16.432
1991-09-15,Bay of Fundy,12.486
1991-09-15,Scotian Shelf,14.557
1991-09-15,Gulf of St. Lawrence,12.454
1991-10-15,Bay of Fundy,11.039
1991-10-15,Scotian Shelf,12.875
1991-10-15,Gulf of St. Lawrence,9.031
1991-11-15,Bay of Fundy,8.673
1991-11-15,Scotian Shelf,9.161
1991-11-15,Gulf of St. Lawrence,5.578
1991-12-15,Bay of Fundy,5.983
1991-12-15,Scotian Shelf,5.887
1991-12-15,Gulf of St. Lawrence,2.284
1992-01-15,Bay of Fundy,2.377
1992-01-15,Scotian Shelf,3.305
1992-01-15,Gulf of St. Lawrence,-0.085
1992-02-15,Bay of Fundy,1.614
1992-02-15,Scotian Shelf,1.575
1992-02-15,Gulf of St. Lawrence,-0.948
1992-03-15,Bay of Fundy,1.046
1992-03-15,Scotian Shelf,1.027
1992-03-15,Gulf of St. Lawrence,-0.386
1992-04-15,Bay of Fundy,2.282
1992-04-15,Scotian Shelf,1.94
1992-04-15,Gulf of St. Lawrence,-0.424
1992-05-15,Bay of Fundy,3.571
1992-05-15,Scotian Shelf,4.727
1992-05-15,Gulf of St. Lawrence,3.28
1992-06-15,Bay of Fundy,7.303
1992-06-15,Scotian Shelf,9.495
1992-06-15,Gulf of St. Lawrence,9.252
1992-08-15,Bay of Fundy,13.699
1992-08-15,Scotian Shelf,16.582
1992-08-15,Gulf of St. Lawrence,14.891
1992-09-15,Bay of Fundy,12.719
1992-09-15,Scotian Shelf,16.46
1992-09-15,Gulf of St. Lawrence,13.87
1992-10-15,Bay of Fundy,10.416
1992-10-15,Scotian Shelf,12.625
1992-10-15,Gulf of St. Lawrence,8.555
1992-11-15,Bay of Fundy,8.517
1992-11-15,Scotian Shelf,9.213
1992-11-15,Gulf of St. Lawrence,4.482
1992-12-15,Bay of Fundy,5.515
1992-12-15,Scotian Shelf,5.765
1992-12-15,Gulf of St. Lawrence,1.084
1993-01-15,Bay of Fundy,3.322
1993-01-15,Scotian Shelf,3.1
1993-01-15,Gulf of St. Lawrence,0.319
1993-02-15,Bay of Fundy,2.215
1993-02-15,Scotian Shelf,2.237
1993-02-15,Gulf of St. Lawrence,-0.603
1993-03-15,Bay of Fundy,0.823
1993-03-15,Scotian Shelf,1.902
1993-03-15,Gulf of St. Lawrence,-0.893
1993-04-15,Bay of Fundy,1.099
1993-04-15,Scotian Shelf,2.611
1993-04-15,Gulf of St. Lawrence,0.021
1993-05-15,Bay of Fundy,3.967
1993-05-15,Scotian Shelf,5.244
1993-05-15,Gulf of St. Lawrence,3.533
1993-06-15,Bay of Fundy,7.785
1993-06-15,Scotian Shelf,8.965
1993-06-15,Gulf of St. Lawrence,8.929
1993-08-15,Bay of Fundy,14.774
1993-08-15,Scotian Shelf,17.103
1993-08-15,Gulf of St. Lawrence,17.1
1993-09-15,Bay of Fundy,13.218
1993-09-15,Scotian Shelf,16.519
1993-09-15,Gulf of St. Lawrence,12.87
1993-10-15,Bay of Fundy,10.538
1993-10-15,Scotian Shelf,12.467
1993-10-15,Gulf of St. Lawrence,7.692
1993-11-15,Bay of Fundy,8.713
1993-11-15,Scotian Shelf,9.053
1993-11-15,Gulf of St. Lawrence,3.822
1993-12-15,Bay of Fundy,5.976
1993-12-15,Scotian Shelf,6.94
1993-12-15,Gulf of St. Lawrence,1.586
1994-01-15,Bay of Fundy,3.006
1994-01-15,Scotian Shelf,3.234
1994-01-15,Gulf of St. Lawrence,0.077
1994-02-15,Bay of Fundy,1.734
1994-02-15,Scotian Shelf,1.532
1994-02-15,Gulf of St. Lawrence,-0.941
1994-03-15,Bay of Fundy,1.196
1994-03-15,Scotian Shelf,1.676
1994-03-15,Gulf of St. Lawrence,-0.155
1994-04-15,Bay of Fundy,1.452
1994-04-15,Scotian Shelf,2.556
1994-04-15,Gulf of St. Lawrence,0.141
1994-05-15,Bay of Fundy,4.226
1994-05-15,Scotian Shelf,4.408
1994-05-15,Gulf of St. Lawrence,2.663
1994-06-15,Bay of Fundy,9.615
1994-06-15,Scotian Shelf,10.292
